지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그
108,서울,2021-08-17 18:00,28.1,,0,,2.7,,90,,56,,21.2,18.4,997.6,,1007.2,
108,서울,2021-08-17 19:00,25.5,,0.3,,2.6,,250,,74,,24.1,20.5,998.4,,1008.1,
108,서울,2021-08-17 20:00,24.2,,2.8,,1.7,,290,,86,,26,21.7,999.7,,1009.4,
108,서울,2021-08-17 21:00,23.5,,4.4,,1.7,,50,,89,,25.6,21.5,1000.5,,1010.3,
108,서울,2021-08-17 22:00,22.7,,1.8,,2.1,,50,,85,,23.4,20,1000.5,,1010.3,
108,서울,2021-08-17 23:00,22.2,,0,,2,,50,,86,,22.9,19.7,1000.3,,1010.1,
108,서울,2021-08-18 0:00,21.9,,,9,2.2,,50,,85,,22.2,19.2,1000.4,,1010.2,
108,서울,2021-08-18 1:00,21.6,,,,2.7,,50,,83,,21.3,18.5,1000,,1009.9,
108,서울,2021-08-18 2:00,21.5,,,,1.9,,50,,79,,20.1,17.6,999.9,,1009.8,
108,서울,2021-08-18 3:00,21.3,,,,1.9,,50,,82,,20.6,18,999.7,,1009.6,
108,서울,2021-08-18 4:00,21.2,,,,2.7,,50,,78,,19.6,17.2,999.6,,1009.5,
108,서울,2021-08-18 5:00,21,,0,,2.2,,50,,77,,19.1,16.8,999.8,,1009.7,
108,서울,2021-08-18 6:00,20.7,,,9,2.3,,50,,78,,19,16.7,1000.1,,1010,
108,서울,2021-08-18 7:00,21.1,,,9,1.5,,70,,78,,19.5,17.1,1001.1,,1011,
108,서울,2021-08-18 8:00,20.7,,2.2,,1.9,,70,,91,,22.1,19.1,1001.8,,1011.7,
108,서울,2021-08-18 9:00,20.8,,2.3,,1.8,,70,,91,,22.2,19.2,1001.9,,1011.8,
108,서울,2021-08-18 10:00,21.6,,1.1,,1.7,,50,,92,,23.7,20.2,1002.1,,1012,
108,서울,2021-08-18 11:00,23.5,,0,,2.8,,50,,81,,23.4,20,1001.9,,1011.7,
108,서울,2021-08-18 12:00,25.4,,,9,3.6,,50,,71,,22.9,19.7,1000.7,,1010.4,
108,서울,2021-08-18 13:00,27.8,,,9,3.5,,70,,63,,23.5,20.1,1000.3,,1009.9,
108,서울,2021-08-18 14:00,28.8,,,9,2.5,,70,,59,,23.2,19.9,999.6,,1009.2,
108,서울,2021-08-18 15:00,29.8,,,9,2,,70,,53,,22.1,19.1,999.2,,1008.8,
108,서울,2021-08-18 16:00,30.3,,,9,3.3,,50,,51,,22,19,998.7,,1008.3,
108,서울,2021-08-18 17:00,30.1,,,9,2.9,,70,,49,,20.9,18.2,998.8,,1008.4,
108,서울,2021-08-18 18:00,28.6,,,9,3.9,,70,,55,,21.4,18.6,999.3,,1008.9,
108,서울,2021-08-18 19:00,26.8,,,9,5.1,,70,,59,,20.8,18.1,999.7,,1009.4,
108,서울,2021-08-18 20:00,25.6,,,9,3.9,,70,,63,,20.6,18,1000.7,,1010.4,
108,서울,2021-08-18 21:00,24.7,,,9,3.4,,50,,63,,19.5,17.1,1001,,1010.7,
108,서울,2021-08-18 22:00,24.1,,,9,3.2,,70,,65,,19.5,17.1,1001.3,,1011,
108,서울,2021-08-18 23:00,23.5,,,9,3.5,,70,,65,,18.8,16.5,1001.4,,1011.2,
108,서울,2021-08-19 0:00,23.1,,,9,2.7,,50,,64,,18.1,15.9,1001.6,,1011.4,
108,서울,2021-08-19 1:00,22.6,,,,2.6,,50,,66,,18.1,15.9,1001.2,,1011,
108,서울,2021-08-19 2:00,21.8,,,,2.8,,50,,69,,17.9,15.8,1001.3,,1011.2,
108,서울,2021-08-19 3:00,21.6,,,,3.5,,70,,69,,17.7,15.6,1001.2,,1011.1,
108,서울,2021-08-19 4:00,21.1,,,,2.6,,50,,70,,17.5,15.4,1001.2,,1011.1,
108,서울,2021-08-19 5:00,21,,,,3.5,,50,,70,,17.4,15.3,1001.2,,1011.1,
108,서울,2021-08-19 6:00,21,,,,3.3,,50,,69,,17,15,1001.6,,1011.5,
108,서울,2021-08-19 7:00,21.2,,,,2.4,,50,,69,,17.3,15.2,1001.9,,1011.8,
108,서울,2021-08-19 8:00,22.9,,,,3.3,,50,,65,,18.1,15.9,1002.1,,1011.9,
108,서울,2021-08-19 9:00,24.5,,,,3.2,,70,,60,,18.4,16.2,1002.4,,1012.1,
108,서울,2021-08-19 10:00,26.6,,,,3.4,,90,,57,,19.7,17.3,1002.5,,1012.2,
108,서울,2021-08-19 11:00,26.7,,,,2.6,,50,,55,,19.2,16.9,1002.4,,1012.1,
108,서울,2021-08-19 12:00,28.7,,,,2.4,,90,,52,,20.4,17.8,1002.1,,1011.7,
108,서울,2021-08-19 13:00,29.7,,,,1.9,,70,,49,,20.4,17.8,1001.7,,1011.3,
108,서울,2021-08-19 14:00,29.6,,,,1.6,,70,,49,,20.2,17.7,1001.1,,1010.7,
108,서울,2021-08-19 15:00,31,,,,2.8,,160,,44,,19.7,17.3,1000.5,,1010.1,
108,서울,2021-08-19 16:00,30.8,,,,2.4,,140,,44,,19.5,17.1,1000.4,,1010,
108,서울,2021-08-19 17:00,30.7,,,,1.6,,50,,47,,20.6,18,1000.4,,1010,
108,서울,2021-08-19 18:00,29.6,,,,2.2,,70,,45,,18.6,16.4,1000.3,,1009.9,
108,서울,2021-08-19 19:00,28.7,,,,1.4,,70,,51,,20,17.5,1000.6,,1010.2,
108,서울,2021-08-19 20:00,27.4,,,,3.2,,110,,55,,20,17.5,1001.5,,1011.2,
108,서울,2021-08-19 21:00,26.6,,,,2,,90,,57,,19.7,17.3,1002.2,,1011.9,
108,서울,2021-08-19 22:00,25.9,,,,2,,70,,59,,19.6,17.2,1002.5,,1012.2,
108,서울,2021-08-19 23:00,25.4,,,,2.2,,50,,60,,19.4,17,1002.4,,1012.2,
108,서울,2021-08-20 0:00,25,,,,1.9,,50,,61,,19.2,16.9,1002.6,,1012.4,
108,서울,2021-08-20 1:00,24.5,,,,2.2,,50,,63,,19.2,16.9,1002.3,,1012,
108,서울,2021-08-20 2:00,24.2,,,,2.2,,50,,65,,19.5,17.1,1002.5,,1012.2,
108,서울,2021-08-20 3:00,24,,,,2,,50,,66,,19.6,17.2,1002.4,,1012.1,
108,서울,2021-08-20 4:00,23.6,,0,,2.4,,50,,68,,19.7,17.3,1002.4,,1012.2,
108,서울,2021-08-20 5:00,23,,,9,2.5,,50,,70,,19.6,17.2,1002.2,,1012,
108,서울,2021-08-20 6:00,22.7,,,9,2.5,,70,,72,,19.7,17.3,1002.5,,1012.3,
108,서울,2021-08-20 7:00,22.7,,,9,2.9,,50,,73,,20.1,17.6,1002.8,,1012.6,
108,서울,2021-08-20 8:00,24.3,,,9,2.4,,50,,69,,20.9,18.2,1002.6,,1012.3,
108,서울,2021-08-20 9:00,25.8,,,9,2.2,,110,,68,,22.5,19.4,1002.7,,1012.4,
108,서울,2021-08-20 10:00,27.8,,,9,2.4,,90,,63,,23.5,20.1,1002.8,,1012.5,
108,서울,2021-08-20 11:00,28.9,,,9,2.4,,160,,60,,23.8,20.3,1002.7,,1012.3,
108,서울,2021-08-20 12:00,29.5,,,9,2.2,,200,,56,,22.9,19.7,1001.9,,1011.5,
108,서울,2021-08-20 13:00,29.6,,,9,3.1,,140,,54,,22.4,19.3,1001.5,,1011.1,
108,서울,2021-08-20 14:00,29.5,,,9,2.9,,180,,54,,22.2,19.2,1001.2,,1010.8,
108,서울,2021-08-20 15:00,29,,,9,3.6,,200,,55,,22,19,1001,,1010.6,
108,서울,2021-08-20 16:00,30.3,,,9,2.2,,180,,55,,23.7,20.2,1000.3,,1009.9,
108,서울,2021-08-20 17:00,30.2,,,9,1.7,,230,,52,,22.2,19.2,999.9,,1009.5,
108,서울,2021-08-20 18:00,29.1,,,9,2.4,,140,,54,,21.7,18.8,999.8,,1009.4,
108,서울,2021-08-20 19:00,28.5,,,9,2.6,,180,,56,,21.7,18.8,999.9,,1009.5,
108,서울,2021-08-20 20:00,28,,,9,1.9,,140,,59,,22.2,19.2,1000.2,,1009.8,
108,서울,2021-08-20 21:00,27.7,,,9,1.8,,110,,60,,22.2,19.2,1000.4,,1010,
108,서울,2021-08-20 22:00,27.1,,,9,2.2,,70,,66,,23.5,20.1,1000.2,,1009.9,
108,서울,2021-08-20 23:00,26.7,,0,,4.1,,110,,67,,23.4,20,1000.5,,1010.2,
108,서울,2021-08-21 0:00,24.8,,0,,1.3,,70,,78,,24.3,20.6,1000.1,,1009.9,
108,서울,2021-08-21 1:00,24.5,,,,2,,50,,80,,24.6,20.8,999.2,,1008.9,
108,서울,2021-08-21 2:00,24,,,,2.1,,50,,82,,24.4,20.7,998.9,,1008.6,
108,서울,2021-08-21 3:00,24.1,,,,2.5,,50,,82,,24.6,20.8,998.4,,1008.1,
108,서울,2021-08-21 4:00,24.1,,,,2.3,,50,,82,,24.6,20.8,997.5,,1007.2,
108,서울,2021-08-21 5:00,24.1,,,,2,,50,,82,,24.6,20.8,996.8,,1006.5,
108,서울,2021-08-21 6:00,24.4,,,,2.1,,70,,76,,23.1,19.8,996.2,,1005.9,
108,서울,2021-08-21 7:00,24.3,,0,,1.9,,70,,77,,23.4,20,995.6,,1005.3,
108,서울,2021-08-21 8:00,24.2,,0.3,,2.2,,90,,81,,24.4,20.7,994.8,,1004.5,
108,서울,2021-08-21 9:00,23.9,,0.5,,2.3,,70,,87,,25.6,21.5,994.1,,1003.8,
108,서울,2021-08-21 10:00,23,,5.1,,3.6,,70,,94,,26.3,21.9,993.1,,1002.8,
108,서울,2021-08-21 11:00,22.7,,7,,3.1,,50,,96,,26.4,22,992,,1001.7,
108,서울,2021-08-21 12:00,22,,12.5,,4.5,,50,,98,,25.8,21.6,989,,998.7,
108,서울,2021-08-21 13:00,21.4,,22.4,,6.3,,290,,99,,25.2,21.2,989.1,,998.9,
108,서울,2021-08-21 14:00,23.4,,12.8,,2.4,,110,,97,,27.7,22.8,988.3,,997.9,
108,서울,2021-08-21 15:00,25,,,9,0.8,,110,,85,,26.8,22.2,989.3,,999,
108,서울,2021-08-21 16:00,25.5,,,9,2.2,,250,,78,,25.3,21.3,989.2,,998.8,
108,서울,2021-08-21 17:00,24.8,,0,,4.2,,200,,83,,26,21.7,989.8,,999.5,
108,서울,2021-08-21 18:00,23.9,,0.8,,3.1,,200,,93,,27.4,22.6,989.9,,999.5,
108,서울,2021-08-21 19:00,23.6,,1.3,,5.1,,200,,92,,26.8,22.2,990.3,,999.9,
108,서울,2021-08-21 20:00,23.2,,0,,2,,230,,93,,26.3,21.9,991.1,,1000.8,
108,서울,2021-08-21 21:00,23.3,,0.1,,3.9,,250,,93,,26.4,22,992.7,,1002.4,
108,서울,2021-08-21 22:00,23.3,,,9,1.8,,270,,92,,26.3,21.9,993.8,,1003.5,
108,서울,2021-08-21 23:00,23.4,,,9,3.6,,230,,90,,25.8,21.6,994.7,,1004.4,
108,서울,2021-08-22 0:00,23.4,,,9,2.9,,230,,91,,26.1,21.8,995.2,,1004.9,
